state,jurisdiction_id,taxyear,filing_status_id,minagi,maxagi,taxrate,base_tax
Delaware,13,2015,2,25000,60000,5.55,1001
Delaware,13,2015,2,60000,9999999,6.6,2943.5
Delaware,13,2015,3,0,2000,0,0
Delaware,13,2015,3,2000,5000,2.2,0
Delaware,13,2015,3,5000,10000,3.9,66
Delaware,13,2015,3,10000,20000,4.8,261
Delaware,13,2015,3,20000,25000,5.2,741
Delaware,13,2015,3,25000,60000,5.55,1001
Delaware,13,2015,3,60000,9999999,6.6,2943.5
Delaware,13,2015,4,0,2000,0,0
Delaware,13,2015,4,2000,5000,2.2,0
Delaware,13,2015,4,5000,10000,3.9,66
Delaware,13,2015,4,10000,20000,4.8,261
Delaware,13,2015,4,20000,25000,5.2,741
Delaware,13,2015,4,25000,60000,5.55,1001
Delaware,13,2015,4,60000,9999999,6.6,2943.5
,,,,,,,
Georgia,15,2015,1,0,750,1,0
Georgia,15,2015,1,750,2250,2,7.5
Georgia,15,2015,1,2250,3750,3,37.5
Georgia,15,2015,1,3750,5250,4,82.5
Georgia,15,2015,1,5250,7000,5,142.5
Georgia,15,2015,1,7000,9999999,6,230
Georgia,15,2015,2,0,1000,1,0
Georgia,15,2015,2,1000,3000,2,10
Georgia,15,2015,2,3000,5000,3,50
Georgia,15,2015,2,5000,7000,4,110
Georgia,15,2015,2,7000,10000,5,190
Georgia,15,2015,2,10000,9999999,6,340
Georgia,15,2015,3,0,500,1,0
Georgia,15,2015,3,500,1500,2,5
Georgia,15,2015,3,1500,2500,3,25
Georgia,15,2015,3,2500,3500,4,55
Georgia,15,2015,3,3500,5000,5,95
Georgia,15,2015,3,5000,9999999,6,170
Georgia,15,2015,4,0,1000,1,0
Georgia,15,2015,4,1000,3000,2,10
Georgia,15,2015,4,3000,5000,3,50
Georgia,15,2015,4,5000,7000,4,110
Georgia,15,2015,4,7000,10000,5,190
Georgia,15,2015,4,10000,9999999,6,340
